               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095338,            0.034886,            0.021887,             0.16166,             0.25473,             0.15393,            0.049773,            0.075311,            0.023489,            0.015554,             0.07028,           0.0033022,           0.0033022
                   1,            0.068265,            0.026048,            0.014939,             0.43048,             0.50974,             0.44421,             0.19624,             0.06516,            0.016755,            0.010191,            0.040215,           0.0065698,           0.0065698
                   2,            0.065788,            0.023286,            0.010359,             0.55402,             0.57236,              0.5366,             0.19647,            0.061462,            0.016381,           0.0059002,            0.010083,           0.0097715,           0.0097715
                   3,            0.057433,            0.020591,           0.0082661,             0.62282,             0.69175,             0.65589,             0.23675,            0.056695,            0.016488,           0.0047884,            0.009703,            0.009703,            0.009703
                   4,            0.052577,            0.021075,           0.0068823,              0.8169,             0.71367,             0.78441,             0.35394,            0.047607,            0.015213,           0.0045114,            0.009703,            0.009703,            0.009703
                   5,            0.048756,            0.020767,           0.0060289,             0.82638,             0.74483,             0.79315,             0.42474,            0.043359,            0.014834,           0.0039998,            0.009604,            0.009604,            0.009604
                   6,            0.045331,            0.019265,           0.0056635,             0.88497,             0.72015,             0.81383,             0.42821,             0.04472,            0.014533,           0.0059432,            0.009505,            0.009505,            0.009505
                   7,            0.044587,            0.019306,           0.0057554,             0.85118,             0.77629,             0.83464,              0.4921,            0.041528,            0.014148,           0.0033724,            0.009406,            0.009406,            0.009406
                   8,            0.042972,            0.019397,           0.0048704,             0.88752,             0.75331,             0.83101,             0.47289,            0.043334,            0.014258,           0.0035715,            0.009307,            0.009307,            0.009307
                   9,            0.041159,            0.019541,           0.0046519,             0.89538,             0.75681,             0.85069,             0.50313,            0.039608,             0.01385,           0.0031138,            0.009208,            0.009208,            0.009208
                  10,            0.040118,            0.018477,           0.0051428,             0.88213,             0.74666,             0.83862,             0.47358,            0.040777,             0.01447,           0.0038339,            0.009109,            0.009109,            0.009109
                  11,            0.040502,            0.018781,            0.004593,             0.89548,             0.79235,             0.85877,             0.50963,            0.038287,            0.013854,           0.0033376,             0.00901,             0.00901,             0.00901
                  12,            0.037914,            0.017851,           0.0043246,             0.92138,             0.78214,                0.86,             0.53059,            0.038338,             0.01346,           0.0042868,            0.008911,            0.008911,            0.008911
                  13,            0.038307,            0.018847,           0.0041088,             0.92074,             0.80376,             0.86508,               0.526,            0.037981,            0.013638,           0.0030452,            0.008812,            0.008812,            0.008812
                  14,            0.037158,            0.017716,           0.0045014,             0.89906,             0.81869,             0.86435,             0.51228,             0.03864,            0.013601,           0.0035143,            0.008713,            0.008713,            0.008713
                  15,            0.037284,            0.018099,           0.0042492,             0.91967,              0.8235,             0.87244,             0.51529,            0.038069,            0.013704,           0.0022663,            0.008614,            0.008614,            0.008614
                  16,             0.03584,            0.017575,             0.00407,             0.88971,             0.77944,             0.86416,             0.52653,            0.036464,            0.014003,           0.0028741,            0.008515,            0.008515,            0.008515
                  17,            0.035332,            0.017373,           0.0037404,             0.93572,             0.78433,             0.87435,             0.54929,            0.035861,            0.013528,           0.0023691,            0.008416,            0.008416,            0.008416
                  18,            0.035294,            0.017823,           0.0037629,             0.91257,             0.81731,             0.87087,             0.54481,            0.035516,            0.013529,           0.0025859,            0.008317,            0.008317,            0.008317
                  19,            0.034529,            0.017051,           0.0037429,             0.90587,             0.80556,             0.87976,             0.55773,            0.035873,            0.013165,           0.0029745,            0.008218,            0.008218,            0.008218
                  20,            0.034702,            0.016636,           0.0032118,             0.93227,             0.79909,             0.87428,             0.55173,            0.035052,            0.013279,           0.0030743,            0.008119,            0.008119,            0.008119
                  21,            0.034074,            0.017049,           0.0034831,             0.91461,             0.81947,             0.87699,             0.55281,            0.035115,            0.013194,           0.0021014,             0.00802,             0.00802,             0.00802
                  22,            0.033891,            0.016988,           0.0031379,             0.90484,             0.80131,             0.87524,             0.55223,            0.035382,            0.013477,            0.002578,            0.007921,            0.007921,            0.007921
                  23,            0.033028,            0.016423,           0.0032879,              0.9295,             0.82917,             0.88248,             0.56537,             0.03466,            0.013536,           0.0019137,            0.007822,            0.007822,            0.007822
                  24,            0.032848,             0.01643,           0.0034948,             0.92186,             0.80187,             0.88037,             0.56219,            0.035208,            0.013303,           0.0028389,            0.007723,            0.007723,            0.007723
                  25,            0.034094,            0.016763,            0.003413,             0.90975,             0.81298,             0.87154,             0.56799,            0.034964,            0.013186,           0.0030749,            0.007624,            0.007624,            0.007624
                  26,            0.033183,            0.016409,           0.0031076,             0.92203,             0.81225,             0.88013,             0.56414,            0.034385,            0.013132,           0.0025807,            0.007525,            0.007525,            0.007525
                  27,            0.033256,             0.01694,           0.0029111,             0.94223,              0.8262,             0.88885,             0.57786,            0.035066,            0.013208,           0.0013515,            0.007426,            0.007426,            0.007426
                  28,            0.032399,             0.01612,           0.0027824,             0.91256,             0.81329,             0.88308,             0.58384,            0.034328,            0.013378,           0.0024658,            0.007327,            0.007327,            0.007327
